config,query_id,query,n_relevant,pool_size,retrieved_top10,n_relevant_in_pool,MRR@5,Recall@5,Recall@10,time_s
metapath_nn,1,How do graph-based and multi-step retrieval methods enhance retrieval-augmented generation systems?,18,227,f26699c40f43ee6f9e93f668e419c35f09c799af; f135b8dd5661c7ad3cb558a5133aa2728393f620; c67a16f1b60bdd5c0c3fdc201e1d88721cb86ba1; e23f86a3021bb728af4a2d7f70cccb50ff91f4eb; 06b07e9190bf29fe941e62ec6848e00476b90c2b; 573721af3692834841c3e82303a3bfabb98423b9; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 418080fd96670ff19d15b4cfa3badaa6aadc19fe; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 680824bef5d6f98d669c49246363f0894a678e3b,8,1.0,0.2222,0.3889,0.4
metapath_nn,2,How are knowledge graphs constructed and applied to organize scholarly and scientific information?,19,225,a60f8498e85f01ec72120c153aa92387f8841a31; dfbe1fcd18742d71d2807506120aab24485491c8; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 166b8ba6d993278315333196d1009bac96818c8f; adb68c59226e1c3ce5ea9c259c760a738a4870df; db5adab6b866e14ef1216716f9cb3783f65f5042; f135b8dd5661c7ad3cb558a5133aa2728393f620; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b; 5f60655778fd0e3cb849c719797585e0e97912a2,12,1.0,0.2632,0.4737,0.17
metapath_nn,3,What methods are used for automated information extraction from scientific and biomedical text?,17,224,c919f252e1d23638ba6a420bc7d222d07bfabd38; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; 686d9ee744fa013cc21cdd86acd864c936e9e456; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 3c6978ed377ace2b921748f40b0d7431ebbfeb7c; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; b4076046f55b8005d82489728df5ea24ffcd0281; 0d244e25ffb587147be583eb90b1d6eca6740e26; 3ecf3392b33d83749e7ac3957a61b1caa0d3b975; b5aa72becfb20fae00a15a8169e0a4d873cf6013,7,0.3333,0.1765,0.2941,0.15
metapath_nn,4,How can NLP tools support researchers in conducting systematic literature reviews and evidence synthesis?,17,236,36ce12cadada7523bcce7edb4a704eba08baa520; db5adab6b866e14ef1216716f9cb3783f65f5042; 3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b; 966662b18fc5c4a6e29a06f56975dbdd44ab63eb; 5f60655778fd0e3cb849c719797585e0e97912a2; 4fb435fe5c3c84721e07653bafda3caadf2ebffb; 686d9ee744fa013cc21cdd86acd864c936e9e456; 6ea3fffea0eb682720f38c5eb8b996393e030df2; a60f8498e85f01ec72120c153aa92387f8841a31,9,1.0,0.1765,0.2941,0.19
metapath_nn,5,What bibliometric and citation analysis methods reveal research trends and collaboration patterns?,19,235,9ac693104ac49f94eab23930e2fc8bedf6db9bea; 586aa6ddedea42042cacf92431eb568c346eeea7; beabb3d31625fbbdba7e720d4d5baa6aac5d7b16; 3f04900ff0b01b2912625967407cc53188212893; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b; 1346d703959399ba404f251290d0352f0631d242; db0401da5b1048413af0788f79631f3b1c4c5e9f; e11c67919830bb0a29a86b05936d467227accc81; 2f586042d52af9fd9986d8e087665a96187aa8e7; b4076046f55b8005d82489728df5ea24ffcd0281,14,1.0,0.2105,0.3684,0.13
metapath_nn,6,What techniques reduce factual hallucination in large language model outputs?,20,224,b9942b39912e0f37068e8ca2e5494cd22c4a9f9c; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 347604483bf70b1863dc5dd4f21fe7abe6da5abc; 686d9ee744fa013cc21cdd86acd864c936e9e456; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 627aa6280bfab5776ed3daac9102978d39581af6; a9706a5ecec87831d625cdc0b8d856e12ce28429; db20f92811649ba8c03d3d5121da854df82473a0; 45c008f1fa5b7438ad387e13931fd281a3207f2a; 37c0aaffc2435871009ce1a31a4c2fc982c519b7,4,1.0,0.15,0.2,0.16
metapath_nn,7,"What deep learning and language model approaches are used for classifying, tagging, or organizing scientific text?",14,215,a550ad9d7f47b65f7788287a23717a4f7c5b75c7; e7dcdfb7734d59b97f825cce8b3105a2d9b14d10; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; d331de3b6bebb0f9af1fddf1b730ec057a7026d4; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 686d9ee744fa013cc21cdd86acd864c936e9e456; 1346d703959399ba404f251290d0352f0631d242; 3ecf3392b33d83749e7ac3957a61b1caa0d3b975; 958bb3831589246fe5b6b58cf99e3b65c58d027f; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de,5,1.0,0.2143,0.2143,0.15
metapath_nn,8,How are pretrained language models and embedding techniques used for semantic understanding of scientific text?,12,213,87078d95bee341a1767034d9432fb34937ecf65a; a550ad9d7f47b65f7788287a23717a4f7c5b75c7; b4076046f55b8005d82489728df5ea24ffcd0281; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; a60f8498e85f01ec72120c153aa92387f8841a31; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 89ddc52b54c38c6ece03943bb268598452ccf999; d331de3b6bebb0f9af1fddf1b730ec057a7026d4; e7dcdfb7734d59b97f825cce8b3105a2d9b14d10; 686d9ee744fa013cc21cdd86acd864c936e9e456,5,1.0,0.25,0.4167,0.15
metapath_nn,9,"What benchmarks, evaluation methods, and datasets are used to assess RAG and information retrieval system performance?",14,220,938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 686957399258cfedeaa1c4d146447f49869de29c; 3c55cdbca9fdbe4be50b0f7cc6cf957e982b18e0; 418080fd96670ff19d15b4cfa3badaa6aadc19fe; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; a7576cac39690df0f89ae1b123f4e1b5c90f5711; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; d6311085287a07fd0c9d38dd903974f1bfbdf942; 56444b35418f75d7a400f421d62516a6539c48c4; 2f586042d52af9fd9986d8e087665a96187aa8e7,2,1.0,0.1429,0.1429,0.15
metapath_nn,10,"How can AI systems assist in peer review, quality assessment, and research impact evaluation of scholarly work?",13,228,36ce12cadada7523bcce7edb4a704eba08baa520; 9f3ae8055e227edb413c54417c9c216f1f554f52; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; fd2a6a44c39e0c8e7835017634a1d0e31c5d00ca; c919f252e1d23638ba6a420bc7d222d07bfabd38; 1346d703959399ba404f251290d0352f0631d242; 9f5e2491549744b43b4f8920ce7e3e875ea79872; 2f586042d52af9fd9986d8e087665a96187aa8e7; db5adab6b866e14ef1216716f9cb3783f65f5042; 890b62dac4d8f511b6ba15fcf995662a93e0cd88,7,1.0,0.3077,0.4615,0.16
