config,query_id,query,n_relevant,pool_size,retrieved_top10,n_relevant_in_pool,MRR@5,Recall@5,Recall@10,time_s
hybrid_reranker,1,How do graph-based and multi-step retrieval methods enhance retrieval-augmented generation systems?,18,313,f26699c40f43ee6f9e93f668e419c35f09c799af; 9a170e202b071c32740bbd7b37b3fb3effda5466; c67a16f1b60bdd5c0c3fdc201e1d88721cb86ba1; 573721af3692834841c3e82303a3bfabb98423b9; e23f86a3021bb728af4a2d7f70cccb50ff91f4eb; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 17023295658ea94409a1e33a427ea3509b583ef5; 98428ba7cc444b127ff5fa5244ce9390f0e1cf58; 07eda6692b476bcdf21c3dc6803af48c15072a41; 40252c9440ca7450f5a15156d2116fc3981127f2,8,1.0,0.2222,0.3333,10.31
hybrid_reranker,2,How are knowledge graphs constructed and applied to organize scholarly and scientific information?,19,360,a60f8498e85f01ec72120c153aa92387f8841a31; dfbe1fcd18742d71d2807506120aab24485491c8; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; f135b8dd5661c7ad3cb558a5133aa2728393f620; db5adab6b866e14ef1216716f9cb3783f65f5042; 5f60655778fd0e3cb849c719797585e0e97912a2; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b; 2f014ed269c77bdf1286bb540278199fb45adea1; 07e71d9d9971efc372a8f3f6bb5abe3b6d9e2dbe,11,1.0,0.2632,0.4211,13.56
hybrid_reranker,3,What methods are used for automated information extraction from scientific and biomedical text?,17,355,686d9ee744fa013cc21cdd86acd864c936e9e456; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 172005153bfd833557e794d1f068a8e44094457f; 3c6978ed377ace2b921748f40b0d7431ebbfeb7c; 582616fe83a85f095a16778c28297723e25b0ea7; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 87078d95bee341a1767034d9432fb34937ecf65a; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de,12,1.0,0.2353,0.3529,8.84
hybrid_reranker,4,How can NLP tools support researchers in conducting systematic literature reviews and evidence synthesis?,17,341,0cc1befaf72ca96c2a5034d004132da1b7bbc58b; 3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d; db5adab6b866e14ef1216716f9cb3783f65f5042; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b; 966662b18fc5c4a6e29a06f56975dbdd44ab63eb; 5f60655778fd0e3cb849c719797585e0e97912a2; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 6ea3fffea0eb682720f38c5eb8b996393e030df2; f5b484e7e490c9e727575086877cecdb121f55dc; 1d5d86c0ee4fab53fed4e8eaf4437ce32883f327,6,0.3333,0.1176,0.2353,5.81
hybrid_reranker,5,What bibliometric and citation analysis methods reveal research trends and collaboration patterns?,19,372,586aa6ddedea42042cacf92431eb568c346eeea7; 3f04900ff0b01b2912625967407cc53188212893; beabb3d31625fbbdba7e720d4d5baa6aac5d7b16; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b; 0c795b7e94b74060fcc5183101661fe125e81aaf; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; e11c67919830bb0a29a86b05936d467227accc81; 0729749a7eb5354934f030d0abb7f886afd02e29; 2f586042d52af9fd9986d8e087665a96187aa8e7; ab0523731848474848c3348d91c659cc62182ac0,13,1.0,0.1579,0.3158,8.72
hybrid_reranker,6,What techniques reduce factual hallucination in large language model outputs?,20,330,b9942b39912e0f37068e8ca2e5494cd22c4a9f9c; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; d4a5c2ab2b459426869e1a3ab1550897b005303e; 347604483bf70b1863dc5dd4f21fe7abe6da5abc; 02e343eac6a848d528dc84aa53e3cdaaf7df0ae6; 94034fd2ed4b6cf41113abb7adc9ae469313c958; 686d9ee744fa013cc21cdd86acd864c936e9e456; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 550b13792eae8af534fc5744ada22762005e99a5; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b,8,1.0,0.25,0.3,12.7
hybrid_reranker,7,"What deep learning and language model approaches are used for classifying, tagging, or organizing scientific text?",14,380,e7dcdfb7734d59b97f825cce8b3105a2d9b14d10; 94034fd2ed4b6cf41113abb7adc9ae469313c958; a550ad9d7f47b65f7788287a23717a4f7c5b75c7; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b; 87078d95bee341a1767034d9432fb34937ecf65a; 07e71d9d9971efc372a8f3f6bb5abe3b6d9e2dbe; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 686d9ee744fa013cc21cdd86acd864c936e9e456; 86bca4f379e5e626430193f6bc5731be027d043d,10,1.0,0.2857,0.2857,16.01
hybrid_reranker,8,How are pretrained language models and embedding techniques used for semantic understanding of scientific text?,12,315,a550ad9d7f47b65f7788287a23717a4f7c5b75c7; 87078d95bee341a1767034d9432fb34937ecf65a; b4076046f55b8005d82489728df5ea24ffcd0281; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 172005153bfd833557e794d1f068a8e44094457f; 50068fbea4d1cafcf4c99873ab272c701c08dfcb; 3835abf96c37770d7ca3bc3a29fe1db728715716; 0024db5f46651b7e1dd593cc33e740bead341fa8; 0d244e25ffb587147be583eb90b1d6eca6740e26; 3605d3aacfa071d9c97b06d834f021baa61625f4,6,1.0,0.25,0.3333,26.14
hybrid_reranker,9,"What benchmarks, evaluation methods, and datasets are used to assess RAG and information retrieval system performance?",14,320,938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 1cdbb922dcc977100e381a5debedb37994d27363; 9a170e202b071c32740bbd7b37b3fb3effda5466; 98428ba7cc444b127ff5fa5244ce9390f0e1cf58; 94034fd2ed4b6cf41113abb7adc9ae469313c958; 17023295658ea94409a1e33a427ea3509b583ef5; 3c55cdbca9fdbe4be50b0f7cc6cf957e982b18e0; 0333e9fabfd144baddc6895381df6863456c3822; 40252c9440ca7450f5a15156d2116fc3981127f2; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9,5,1.0,0.2857,0.3571,19.06
hybrid_reranker,10,"How can AI systems assist in peer review, quality assessment, and research impact evaluation of scholarly work?",13,365,28c28192dfdea806f7b4a4b4c1dbeebf1ed4e400; 36ce12cadada7523bcce7edb4a704eba08baa520; 9f3ae8055e227edb413c54417c9c216f1f554f52; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; d892b1335ad37c4773f98e8282b73d1460a9f2bf; c919f252e1d23638ba6a420bc7d222d07bfabd38; 1cdbb922dcc977100e381a5debedb37994d27363; ce1715982ba4ae45ed235e11142238485b0db9fe; 0d71f55abe06761b3a44fd4b667f93d7287c602b; a60f8498e85f01ec72120c153aa92387f8841a31,5,1.0,0.3846,0.3846,11.44
hybrid_freq_no_reranker,1,How do graph-based and multi-step retrieval methods enhance retrieval-augmented generation systems?,18,313,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 4288209eea487e03394cd52e6f5f72bc61dcad9d; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 40252c9440ca7450f5a15156d2116fc3981127f2; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 3c6978ed377ace2b921748f40b0d7431ebbfeb7c; f704d289a3a1075ded47e554f2dc08466dd64107,8,0.3333,0.1111,0.1667,7.05
hybrid_freq_no_reranker,2,How are knowledge graphs constructed and applied to organize scholarly and scientific information?,19,360,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 686d9ee744fa013cc21cdd86acd864c936e9e456; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 4288209eea487e03394cd52e6f5f72bc61dcad9d; 3835abf96c37770d7ca3bc3a29fe1db728715716; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; d331de3b6bebb0f9af1fddf1b730ec057a7026d4; 2f014ed269c77bdf1286bb540278199fb45adea1,11,0.0,0.0,0.1579,5.7
hybrid_freq_no_reranker,3,What methods are used for automated information extraction from scientific and biomedical text?,17,355,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 686d9ee744fa013cc21cdd86acd864c936e9e456; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 615fdae376617e47cd717ad6e06460f0580f3f7c; 86bca4f379e5e626430193f6bc5731be027d043d; 115617d09807325bd18c42deedd6cab435f90563; b4076046f55b8005d82489728df5ea24ffcd0281,12,0.3333,0.1176,0.1765,5.16
hybrid_freq_no_reranker,4,How can NLP tools support researchers in conducting systematic literature reviews and evidence synthesis?,17,341,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 686d9ee744fa013cc21cdd86acd864c936e9e456; 3835abf96c37770d7ca3bc3a29fe1db728715716; ab6cbeca003b8bc0b7d78f68d5697f51a144a488; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 4288209eea487e03394cd52e6f5f72bc61dcad9d; 3a61d2f9a7aa0d0c2bc4b979aac06f7a67863773; 2d7d78b95c48b09359fd86ab0108328d69101719,6,0.0,0.0,0.0588,3.85
hybrid_freq_no_reranker,5,What bibliometric and citation analysis methods reveal research trends and collaboration patterns?,19,372,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 686d9ee744fa013cc21cdd86acd864c936e9e456; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 3835abf96c37770d7ca3bc3a29fe1db728715716; b73695187fd89968150c894b036d0017e75c17d6; 2ee693e08a9409282c4aabeaa6cb267d352aa73b; e11c67919830bb0a29a86b05936d467227accc81; ab6cbeca003b8bc0b7d78f68d5697f51a144a488; 634feec14175fcf5b8dee1e0ead3ceced7d84435; 890b62dac4d8f511b6ba15fcf995662a93e0cd88,13,0.0,0.0,0.1053,5.03
hybrid_freq_no_reranker,6,What techniques reduce factual hallucination in large language model outputs?,20,330,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 686d9ee744fa013cc21cdd86acd864c936e9e456; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 2d97083bc7973e8f7ea5a30941decb8c24e15153; 3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; adb68c59226e1c3ce5ea9c259c760a738a4870df,8,0.25,0.05,0.05,7.46
hybrid_freq_no_reranker,7,"What deep learning and language model approaches are used for classifying, tagging, or organizing scientific text?",14,380,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 87078d95bee341a1767034d9432fb34937ecf65a; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 958bb3831589246fe5b6b58cf99e3b65c58d027f; d6311085287a07fd0c9d38dd903974f1bfbdf942; 5e04344703373e24772ef656354ee1d7078b9aae; 2d97083bc7973e8f7ea5a30941decb8c24e15153,10,0.0,0.0,0.0,6.11
hybrid_freq_no_reranker,8,How are pretrained language models and embedding techniques used for semantic understanding of scientific text?,12,315,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; 686d9ee744fa013cc21cdd86acd864c936e9e456; 87078d95bee341a1767034d9432fb34937ecf65a; 0333e9fabfd144baddc6895381df6863456c3822; 938908bc82d5c37b1df2c76d4fbdbdf2075e50de; 6c00a148c6fd1e226500751bebfeb08abe856f73; c7760deb525eab16d1d8f56028f9f4f3d40910a5; a608ba234169bead755aefa35d4db2172bdf467b,6,0.2,0.0833,0.0833,6.64
hybrid_freq_no_reranker,9,"What benchmarks, evaluation methods, and datasets are used to assess RAG and information retrieval system performance?",14,320,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; d6311085287a07fd0c9d38dd903974f1bfbdf942; 56444b35418f75d7a400f421d62516a6539c48c4; 94034fd2ed4b6cf41113abb7adc9ae469313c958; 1cdbb922dcc977100e381a5debedb37994d27363; 3c55cdbca9fdbe4be50b0f7cc6cf957e982b18e0; 98428ba7cc444b127ff5fa5244ce9390f0e1cf58,5,0.0,0.0,0.1429,6.75
hybrid_freq_no_reranker,10,"How can AI systems assist in peer review, quality assessment, and research impact evaluation of scholarly work?",13,365,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327; 0d71f55abe06761b3a44fd4b667f93d7287c602b; 0c561f33ae15decbbe699b05e02e1299b8dea58b; 7b654e072b2fa2103fd2631f70b4fcd88b48d972; b73695187fd89968150c894b036d0017e75c17d6; 2ee693e08a9409282c4aabeaa6cb267d352aa73b; 634feec14175fcf5b8dee1e0ead3ceced7d84435; 36ce12cadada7523bcce7edb4a704eba08baa520; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; 686d9ee744fa013cc21cdd86acd864c936e9e456,5,0.0,0.0,0.0769,5.48
hybrid_interleave_no_reranker,1,How do graph-based and multi-step retrieval methods enhance retrieval-augmented generation systems?,18,313,37c0aaffc2435871009ce1a31a4c2fc982c519b7; 627aa6280bfab5776ed3daac9102978d39581af6; 573721af3692834841c3e82303a3bfabb98423b9; c67a16f1b60bdd5c0c3fdc201e1d88721cb86ba1; db5adab6b866e14ef1216716f9cb3783f65f5042; d6311085287a07fd0c9d38dd903974f1bfbdf942; 2f014ed269c77bdf1286bb540278199fb45adea1; 0c57cb87fcfb345ddc13bab3f20e9c203bac52e9; f2df1a1c2c157bf53233a6648deb5135746fec43; 2253c84f0d7422bbbec496893948e1e1297bcab2,8,0.3333,0.1111,0.1667,5.01
hybrid_interleave_no_reranker,2,How are knowledge graphs constructed and applied to organize scholarly and scientific information?,19,360,5f60655778fd0e3cb849c719797585e0e97912a2; bd18b584546309feecdf3b74c07709e45984ea09; f135b8dd5661c7ad3cb558a5133aa2728393f620; dfbe1fcd18742d71d2807506120aab24485491c8; 428194865ce5732c3c53f548b3d56485e8c7f4eb; db5adab6b866e14ef1216716f9cb3783f65f5042; c4a9619d1a6c222764048ef30cf4d0c35606eb66; 0905b384bc98e40c5a9ca20027f5fab3fbc455b4; d331de3b6bebb0f9af1fddf1b730ec057a7026d4; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b,11,1.0,0.1579,0.2632,5.07
hybrid_interleave_no_reranker,3,What methods are used for automated information extraction from scientific and biomedical text?,17,355,f2df1a1c2c157bf53233a6648deb5135746fec43; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 2f014ed269c77bdf1286bb540278199fb45adea1; b4076046f55b8005d82489728df5ea24ffcd0281; 97dc4d4620c2b2d12d6b07a4127f3fddcf126b94; 958bb3831589246fe5b6b58cf99e3b65c58d027f; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; db20f92811649ba8c03d3d5121da854df82473a0; 14644be339b0805aa8098a97f61fe2398cc770a9; 686d9ee744fa013cc21cdd86acd864c936e9e456,12,1.0,0.1765,0.2353,5.18
hybrid_interleave_no_reranker,4,How can NLP tools support researchers in conducting systematic literature reviews and evidence synthesis?,17,341,3a61d2f9a7aa0d0c2bc4b979aac06f7a67863773; 5f60655778fd0e3cb849c719797585e0e97912a2; 9dd953b8e915d3c19bbd5584ad3769164d8f762a; 586aa6ddedea42042cacf92431eb568c346eeea7; 966662b18fc5c4a6e29a06f56975dbdd44ab63eb; 3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d; 428194865ce5732c3c53f548b3d56485e8c7f4eb; 2d7d78b95c48b09359fd86ab0108328d69101719; d331de3b6bebb0f9af1fddf1b730ec057a7026d4; 76fc5b6ed56a286cdb1ab652b9160cf027e66d2b,6,0.5,0.0588,0.1765,4.07
hybrid_interleave_no_reranker,5,What bibliometric and citation analysis methods reveal research trends and collaboration patterns?,19,372,3f04900ff0b01b2912625967407cc53188212893; 586aa6ddedea42042cacf92431eb568c346eeea7; 97dc4d4620c2b2d12d6b07a4127f3fddcf126b94; beabb3d31625fbbdba7e720d4d5baa6aac5d7b16; 2d7d78b95c48b09359fd86ab0108328d69101719; 34a1f2ba4f42fa61cf5f94bde851d325a0e52435; 5e04344703373e24772ef656354ee1d7078b9aae; f2df1a1c2c157bf53233a6648deb5135746fec43; db5adab6b866e14ef1216716f9cb3783f65f5042; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b,13,1.0,0.1579,0.2105,3.91
hybrid_interleave_no_reranker,6,What techniques reduce factual hallucination in large language model outputs?,20,330,e8bfdea65560f1513c8218c4745eed0c380fbe92; 627aa6280bfab5776ed3daac9102978d39581af6; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; f2df1a1c2c157bf53233a6648deb5135746fec43; d6311085287a07fd0c9d38dd903974f1bfbdf942; db20f92811649ba8c03d3d5121da854df82473a0; 3c55cdbca9fdbe4be50b0f7cc6cf957e982b18e0; 0bfa7c89253235d2822a3fd45dfcc9f2e7787984; 686d9ee744fa013cc21cdd86acd864c936e9e456; 1277221119f7d5e5695fe3eeb778140a26fbac28,8,0.0,0.0,0.05,5.41
hybrid_interleave_no_reranker,7,"What deep learning and language model approaches are used for classifying, tagging, or organizing scientific text?",14,380,b5aa72becfb20fae00a15a8169e0a4d873cf6013; 37c0aaffc2435871009ce1a31a4c2fc982c519b7; 958bb3831589246fe5b6b58cf99e3b65c58d027f; d6311085287a07fd0c9d38dd903974f1bfbdf942; 812b6f4dd78edb52959a660c1ac3cdcf5f8e13c6; a550ad9d7f47b65f7788287a23717a4f7c5b75c7; 0cc1befaf72ca96c2a5034d004132da1b7bbc58b; e663f431579bdde874795c4e0ae6b58249de695f; 87e367d76e5c63c834bf77b4f6ea8bce6cdb5553; 5e04344703373e24772ef656354ee1d7078b9aae,10,1.0,0.1429,0.2143,5.54
